N,University ,City ,State,Country,Latitude,Longitdue,Dorm Level? ,Dashboard,News Article,Publication ,protocol,
82,Universidad EIA (EIA University),Envigado,Antioquia (Department not state),Colombia,6.156967,-75.516882,,,https://www.rcnradio.com/colombia/antioquia/detectan-covid-19-en-aguas-residuales-de-antioquia,,,
83,Universidad Nacional de Colombia - Medellín  (National University of Colombia - Medellín),Envigado,Antioquia (Department not state),Colombia,6.261348,-75.577039,,,https://www.rcnradio.com/colombia/antioquia/detectan-covid-19-en-aguas-residuales-de-antioquia,,,
84,Universidad de Concepción (University of Concepción),Concepción,Biobío (Region not state),Chile,-36.82958,-73.034547,,,https://www.radioudec.cl/2020/07/14/centro-de-biotecnologia-udec-detecto-coronavirus-en-aguas-servidas-de-chillan/,,,
85,Universidad de Chile (University of Chile),Santiago,Santiago Metropolitan Region (Region not state),Chile,-33.444547,-70.650987,,,http://www.usach.cl/news/dr-ricardo-salazar-material-genetico-covid-aguas-residuales-no-existe-estudio-afirme-sea,https://www.medrxiv.org/content/10.1101/2020.07.02.20145177v1,,
86,Universidade Federal de Santa Catarina (Federal University of Santa Catarina),Florianópolis,Florianópolis,Brazil,-27.600673,-48.519378,,,https://www.bbc.com/mundo/noticias-53358407,https://www.medrxiv.org/content/10.1101/2020.06.26.20140731v1.full.pdf+html,,
87,"Universidad de las Américas, Ecuador (University of the Americas , Ecuador)",Quito,Ecuador,Ecuador,-0.168078,-78.472857,,,https://www.prensalibre.com/internacional/estudio-encuentra-huellas-del-sars-cov-2-en-rios-de-la-capital-de-ecuador/,https://www.sciencedirect.com/science/article/pii/S0048969720343564,,
88,Universidad Tecnológica Equinoccial (Equator Technological University),Quito,Ecuador,Ecuador,-0.184136,-78.493171,,,https://www.efe.com/efe/america/sociedad/analizan-las-aguas-residuales-en-quito-para-estimar-el-numero-de-casos-covid-19/20000013-4253431,,,
89,University of New Hampshire,Durham,New Hampshire,USA,43.1339741,-70.9264477,,,https://tnhdigital.com/2021/04/08/unh-conducts-wastewater-testing-system-to-track-covid-19-virus/,,,
90,University of Innsbruck,Innsbruck,Tyrol,Austria,47.2692,11.4041,,,https://www.coron-a.at/,,,
91,Lehigh University,Bethlehem,Pennsylvania,USA,40.604812,-75.377572,Yes,,https://thebrownandwhite.com/2020/10/11/lehigh-and-bethlehem-test-wastewater-for-covid/,,,
92,Susquehanna University,Selinsgrove,Pennsylvania,USA,40.796086,-76.877211,Stopped sampling in Spring 2021,,https://www.susqu.edu/coronavirus-update/feb-4-update,,,
93,Technical University of Vienna (TU Wien),,Vienna,Austria,48.19889,16.37,,,https://www.coron-a.at/,,,
94,Medical University of Innsbruck ,Innsbruck,,Austria ,47.26278,11.38389,,,https://www.coron-a.at/,,,
95,Northern Illinois University,DeKalb,Illinois,USA,41.934205,-88.774064,Yes,,https://www.northernpublicradio.org/post/next-step-nius-covid-19-surveillance-testing-lies-wastewater,,,
96,St. John Fisher College,Rochester,New York,USA,43.115581,-77.51183,,,https://www.sjfc.edu/news-and-events/news-archive/summer-2020/wastewater-saliva-surveillance-boost-detection/,,,
97,Dalhousie University,Halifax,Nova Scotia (Province) ,Canada,44.636482,-63.591634,,,https://www.dal.ca/news/2020/10/22/dalhousie-researchers-help-develop-a-wastewater-test-that-could-.html,,,
98,Carleton University,Ottawa,Ontario (province),Canada,45.387528,-75.696074,,,https://newsroom.carleton.ca/story/research-wastewater-covid-19/,,,
99,University of Calgary,Calgary,Alberta,Canada,51.066418,-114.135059,,,https://ucalgary.ca/news/calgarians-can-now-track-traces-covid-19-their-wastewater,,,
100,University of Alberta,Edmonton,Alberta,Canada,53.529208,-113.526748,,,https://cwn-rce.ca/covid-19-wastewater-coalition/phase-1-inter-laboratory-study/,,,
101,Queens University,Kingston,Ontario,Canada,44.226345,-76.496292,,,https://cwn-rce.ca/covid-19-wastewater-coalition/phase-1-inter-laboratory-study/,,,
102,Ontario Technical University,Oshawa,Ontario,Canada,43.945438,-78.896151,,,https://cwn-rce.ca/covid-19-wastewater-coalition/phase-1-inter-laboratory-study/,,,
103,University of Waterloo,Waterloo,Ontario,Canada,43.472261,-80.544864,,,http://uwimprint.ca/article/uw-professor-awarded-over-1-million-to-test-wastewater-for-covid-19/,,,
104,McMaster University,Hamilton,Ontario,Canada,43.260864,-79.919248,,,https://cwn-rce.ca/covid-19-wastewater-coalition/phase-1-inter-laboratory-study/,,,
105,The University of Victoria,Victoria,British Columbia (Province),Canada,48.463079,-123.311822,,,https://www.uvic.ca/engineering/home/news/current/2020jul-watching-wastewater-for-covid-19.php,,,
106,University of Saskatchewan,Saskatoon,Saskatchewan (Province),Canada,52.133176,-106.631294,,,https://thestarphoenix.com/news/local-news/u-of-s-researchers-could-hunt-for-covid-19-in-saskatoons-sewage,,,
107,Siena College,Loudonville,New York,USA,42.716619,-73.752337,Yes,,https://www.news10.com/news/local-news/local-college-uses-wastewater-testing-to-fight-against-covid-19/,,,
108,Rollins College,Winter Park,Florida,USA,28.592758,-81.350866,,,https://www.orlandosentinel.com/coronavirus/os-ne-coronavirus-rollins-sewage-testing-20201023-f7d23pkpzrcy7gnfeb73xvb7le-story.html ,,,
109,Kenyon College,Gambier,Ohio,USA,40.37186,-82.398329,,http://biology.kenyon.edu/slonc/covid/Gambier_Wastewater_Report.html,https://mountvernonnews.com/stories/553428643-wastewater-testing-could-detect-superspreader-event,,,
110,Carroll College,Helena,Montana,USA,46.600811,-112.039096,,https://www.lccountymt.gov/health/covid-19/local-covid-19-decision-making-dashboard.html,https://www.carroll.edu/article/carroll-partners-lewis-clark-county-covid-19-wastewater-surveillance,,,
111,University of Bath,Bath,England,UK ,51.378410,-2.326082,,,https://www.bath.ac.uk/announcements/bath-academics-to-help-track-coronavirus-in-schools-by-monitoring-wastewater/,,,
112,Central Michigan University,Mount Pleasant,Michigan,USA,43.581784,-84.775593,,,https://www.cmich.edu/news/article/Pages/COVID-wastewater-testing.aspx,,,
113,Arizona State University ,Tempe,Arizona,USA,33.4242,-111.9281,,https://covid19.tempe.gov/ ,https://asunow.asu.edu/20200423-discoveries-novel-coronavirus-detected-monitored-wastewater,https://www.sciencedirect.com/science/article/pii/S0048969720323925,,
114,Universidad Nacional de Quilmes ,Bernal,Buenos Aires,Argentina ,-34.706223,-58.278598,,,www.unq.edu.ar,https://www.medrxiv.org/content/10.1101/2020.10.21.20215434v1.full.pdf,,
115,St. Lawrence University,Canton,New York,USA,44.589191,-75.160876,Yes,,https://www.stlawu.edu/always-forward/testing,,,
116,University of Wisconsin-Milwaukee,Milwaukee,Wisconsin,USA,43.078279,-87.881969,Yes,,https://uwm.edu/news/the-sewage-sleuth/,,,
117,Katholieke Universiteit Leuven,Leuven,Flemish Region,Belgium,50.877894,4.700285,,,https://www.brusselstimes.com/news/belgium-all-news/124392/leuven-will-track-coronavirus-in-the-sewers/,,,
118,Clarkson University - Potsdam Hill Campus,Potsdam,New York,USA,44.663670,-74.997706,Yes,,https://csengineermag.com/detecting-covid-19-on-campus-can-wastewater-provide-early-warning-signs/,,,
119,Ringling College of Art and Design,Sarasota,Florida,USA,27.360354,-82.548477,Yes,,https://www.vhb.com/news/ringling-college/,,,
120,University of Wyoming ,Laramie,Wyoming,USA,41.314855,-105.566478,,,http://www.uwyo.edu/uw/news/2020/10/uw-researchers-to-test-wyoming-wastewater-for-covid-19.html,,,
121,Middlesex University ,London,England,UK,51.590094,-0.228922,,,https://www.mdx.ac.uk/news/2020/10/research-coronavirus-wastewater-schools,,,
122,University College London,London,England,UK,51.524544,-0.134062,,,https://www.ceh.ac.uk/news-and-media/news/wastewater-analysis-will-track-spread-coronavirus-schools?utm_source=UKCEH+newsletter&utm_campaign=b81b2f19d2-EMAIL_CAMPAIGN_UKCEH_OCT2020&utm_medium=email&utm_term=0_f8768e24ab-b81b2f19d2-520037481,,,
123,Imperial College London,London,England,UK,51.498816,-0.174873,,,https://www.ceh.ac.uk/news-and-media/news/wastewater-analysis-will-track-spread-coronavirus-schools?utm_source=UKCEH+newsletter&utm_campaign=b81b2f19d2-EMAIL_CAMPAIGN_UKCEH_OCT2020&utm_medium=email&utm_term=0_f8768e24ab-b81b2f19d2-520037481,,,
124,Cranfield University,Cranfield,England,UK,52.074561,-0.628584,,,https://www.ceh.ac.uk/news-and-media/news/wastewater-analysis-will-track-spread-coronavirus-schools?utm_source=UKCEH+newsletter&utm_campaign=b81b2f19d2-EMAIL_CAMPAIGN_UKCEH_OCT2020&utm_medium=email&utm_term=0_f8768e24ab-b81b2f19d2-520037481,,,
125,Newcastle university,Newcastle upon Tyne,England,UK,54.981059,-1.615611,,,https://www.ncl.ac.uk/press/articles/latest/2020/10/wastewatercovidtesting/,,,
126,Ben Gurion University of the Negev,Beersheba,,Israel,31.262108,34.801525,,,https://www.waterworld.com/wastewater/press-release/14186518/university-researchers-to-monitor-israels-sewage-for-covid19-outbreaks,,,
127,The university of Edinburgh,Edinburgh,Scotland,UK,55.865666,-3.198858,,,https://www.ed.ac.uk/roslin/news-events/latest-news/testing-system-to-trace-covid-19-via-wastewater,,,
128,Technion - Israel Institute of Technology,Haifa,,Israel,32.776436,35.022634,Yes,,https://www.timesofisrael.com/israel-takes-crack-at-sniffing-out-covid-outbreaks-in-peoples-poop/,,,
129,Kahramanmaras Sutcu Imam University,Kahramanmaras,Onikisubat,Turkey,37.587192,36.820182,,,https://csaum.ksu.edu.tr/Default.aspx?SId=126 ,,,
130,Colgate University ,Hamilton,New York,United States,42.8255,-75.5417,,,https://www.colgate.edu/news/stories/wastewater-testing-explained-0,,,
131,Universidade Federal do Rio Grande do Sul,Porto Alegre,Rio Grande do Sul,Brazil,-30.0332,-51.2207,,https://app.powerbi.com/view?r=eyJrIjoiMzNhZjNiNjUtZjQxZS00ZDA0LWFhZTctNjNlNjg0Mjg5Y2FiIiwidCI6IjE1ZGNkOTA5LThkYzAtNDBlOS1hMWU1LWNlY2IwNTNjZGQxYSJ9&pageName=ReportSection,https://coronavirus.rs.gov.br/monitoramento-ambiental,,,
132,The University of Tokyo,Tokyo,,Japan,35.713143,139.762081,,,https://doi.org/10.1016/j.scitotenv.2020.143067 ,,,
133,Yale University,New Haven,Connecticut,USA,41.31708,-72.923109,,https://yalecovidwastewater.com/reports,https://seas.yale.edu/news-events/news/yales-wastewater-sampling-project-used-throughout-ct-predict-covid-19,https://www.nature.com/articles/s41587-020-0684-z ,,
134,University of Southern Maine,Portland,Maine,USA,43.661746,-70.275784,,,https://www.newscentermaine.com/article/news/health/coronavirus/university-of-southern-maine-finds-detectable-levels-of-covid-19-in-wastewater/97-0905c679-8512-403a-b28f-b7eb89998688,,,
135,Grand Valley State University - AWRI,Allendale,Michigan,USA,42.963902,-85.889191,,,https://www.gvsu.edu/gvnext/2020/grand-valley-partnership-testing-to-provide-public-health-experts-with-data-about-potential-covid-19-hotspots.htm,,,
136,University of Northern Arizona,Flagstaff,Arizona,USA,35.179809,-111.653818,,,https://azdailysun.com/news/local/testing-the-flow-researchers-drop-tampons-down-sewers-to-test-for-covid-on-campus/article_daa0790f-4eb2-5086-9d07-6f48ab783ec8.html?utm_campaign=snd-autopilot&utm_medium=social&utm_source=twitter_azds,,,
137,The University of Sheffield,Sheffield,England,UK,53.381222,-1.488101,,,https://www.dewsburyreporter.co.uk/business/consumer/sewage-across-dewsbury-tested-pick-new-covid-19-outbreaks-3018255,,,
138,The University of New Mexico,Albuquerque,New Mexico,USA,35.083968,-106.619288,,,https://www.kob.com/albuquerque-news/new-mexico-universities-use-wastewater-samples-to-detect-covid-19-early/5921168/#.X6wgKdj489A.twitter,,,
139,Norwich University,Northfield,Vermont,USA,44.138205,-72.661682,,,https://www.norwich.edu/news/223-press-releases/2806-norwich-university-studies-wastewater-to-detect-covid-19,,,
140,The Australian National University,Canberra,,Australia,-35.27798,149.118506,,,https://www.anu.edu.au/news/all-news/tracking-covid-19-transmission-through-our-sewage,,,
141,Feevale University,Novo Hamburgo,Rio Grande do Sul,Brazil,-29.662867,-51.11821,,,https://coronavirus.rs.gov.br/instituicoes-participantes,,,
142,University of Idaho,Moscow,Idaho,USA,46.728709,-117.012523,,,https://dnews.com/coronavirus/ui-analyzes-wastewater-in-an-effort-to-detect-covid-19-on-campus/article_252a3f39-ebf7-5800-afe5-59d35f95cc4f.html,,,
143,Birmingham-Southern College,Birmingham,Alabama,USA,33.515047,-86.85101,Yes,,http://blog.bsc.edu/index.php/2020/11/09/sewage-testing-on-campus/,,,
144,Mount St. Mary's University,Emmitsburg,Maryland,USA,39.680008,-77.348676,Yes,,https://news.msmary.edu/2020/11/wastewater-testing-helps-to-combat-covid-19-at-the-mountnews-article.html,,,
145,University of Illinois at Chicago - School of Public Health,Chicago,Illinois,USA,41.871173,-87.650459,,,https://www.chicagotribune.com/news/environment/ct-covid-sewage-monitoring-20201117-rgi5wgme75h5lb2qxdi6rnr6lq-story.html,,,
146,Texas A&M University,College Station,Texas,USA,30.617906,-96.336155,,,https://www.kagstv.com/article/news/health/coronavirus/smelly-solution-texas-am-using-sewage-to-trace-covid-19-on-campus/499-f3c14911-b528-420b-9a64-2207aeee7e6e,,,
147,University of Wisconsin - Oshkosh,Oshkosh,Wisconsin,USA,44.025376,-88.550708,,,https://fox11online.com/news/local/uwo-testing-wastewater-in-hopes-of-flushing-out-covid-on-campus,,,
148,Massachusetts Institute of Technology,Cambridge,Massachusetts,USA,42.359711,-71.094825,,,https://news.mit.edu/2020/testing-wastewater-covid-19-1002,,,
149,Albion College,Albion,Michigan,USA,42.244165,-84.744995,Yes,,https://wwmt.com/news/local/albion-college-testing-wastewater-for-covid-19,,,
150,Emory University,Atlanta,Georgia ,USA,33.796923,-84.322304,Yes,,https://emorywheel.com/emory-covid-19-weekly-update-sept-26-wastewater-tests-positive-contact-tracing-protocols/,,,
151,Missouri State University,Springfield,Missouri,USA,37.200435,-93.280745,Yes,,http://www.the-standard.org/news/high-levels-covid-19-traced-in-scholars-house-wastewater/article_59d99320-29d0-11eb-a9c8-f788e7f64905.html,,,
152,Keene State College,Keene,New Hampshire,USA,42.927396,-72.278768,,https://www.keene.edu/featured/fall2020/covid-19-dashboard/,https://www.sentinelsource.com/news/local/evidence-of-virus-variants-could-come-from-keenes-sewage/article_3f3b5da3-b17a-570b-9717-17a72457b254.html ,,,
153,Northern Michigan University,Marquette,Michigan,USA,46.559633,-87.408336,,,https://www.miningjournal.net/news/front-page-news/2020/10/nmu-lab-monitoring-wastewater-for-covid/,,,
154,University of Michigan,Ann Arbor,Michigan,USA,42.277726,-83.738052,,https://umich-wbe.shinyapps.io/sars-cov-2_dash/ ,https://sph.umich.edu/news/2020posts/researchers-look-for-coronavirus-in-campus-environment.html,,,
155,Franklin & Marshall College,Lancaster,Pennsylvania,USA,40.049994,-76.318506,,,https://lancasteronline.com/news/local/more-than-90-f-m-students-forced-to-quarantine-on-campus-after-positive-wastewater-test/article_8c75120e-f9f7-11ea-9860-cf5690d084db.html,,,
156,Stony Brook University,Stony Brook,New York,USA,40.911906,-73.122413,,,https://www.newsday.com/news/health/coronavirus/wastewater-systems-research-covid-19-1.50031360,,,
157,SUNY Canton,Canton,New York,USA,44.603054,-75.182728,Yes,,https://www.northcountrynow.com/news/suny-canton-has-detected-positive-traces-covid-19-wastewater-samples-residence-halls-0289554,,,
158,SUNY University at Albany,Albany,New York,USA,42.685007,-73.825184,,,https://www.albany.edu/covid-19/health-safety,,,
159,University of Hartford,West Hartford,Connecticut,USA,41.798366,-72.713943,,,https://www.nbcconnecticut.com/news/coronavirus/university-of-hartford-implements-new-sewer-testing-to-trace-covid-19/2338618/,,,
160,Acueducto de Bogota,Bogota,,Colombia,4.60971,-74.08175,,,www.acueducto.com.co,,,
161,Williams College,Weston,Florida,USA,26.0417,-80.4215,,,,,,
162,ICRA (Catalan Institute for Water Research),Girona,Catalonia,Spain,41.9672,2.84059,,https://sarsaigua.icra.cat/,,https://zenodo.org/record/4147073,,
163,University of Denver,Denver,CO,USA,39.676783,-104.962454,,https://www.du.edu/coronavirus/dashboard,https://denverite.com/2020/12/28/need-to-test-student-sewage-the-university-of-denver-has-an-expert-for-that/?utm_source=dlvr.it&utm_medium=twitter,,,
164,University of Mississippi,Oxford,Mississippi,USA,34.364682,-89.538403,,,,,,
165,Redeemer University,Hamilton,Ontario,Canada,43.20861,-79.948684,Yes,,https://www.redeemer.ca/resound/redeemer-partners-with-mcmaster-on-covid-19-wastewater-testing/,,,
166,"University of Nevada, Las Vegas",Las Vegas,Nevada,USA,36.108381,-115.143192,,,https://www.unlv.edu/news/release/testing-wastewater-covid-19,,,
167,"Queens College, City University of New York",Queens,New York,USA,40.736318,-73.820368,,,https://www1.cuny.edu/mu/forum/2020/08/20/cuny-researchers-press-on-in-search-of-scientific-advances-that-could-help-in-the-battle-against-covid-19/,,,
168,University of Regina ,Regina,Saskatchewan,Canada,50.415454,-104.587787,,,https://regina.ctvnews.ca/u-of-r-researchers-analyzing-covid-19-levels-in-regina-s-wastewater-1.5218229,,,
169,University of Minnesota Rochester,Rochester,Minnesota,USA,44.022377,-92.463024,,,https://r.umn.edu/node/3156,,,
170,Acadia University,Wolfville,Nova Scotia,Canada,45.088422,-64.365894,,,https://www.cbc.ca/news/canada/nova-scotia/experimental-research-detects-covid-19-wolfville-wastewater-1.5820097?cmp=rss,,,
171,Centro de Investigación en Alimentación y Desarrollo (CIAD) Unidad Regional Hidalgo,Hidalgo,,Mexico,20.1131,-98.829,,,https://www.eluniversal.com.mx/estados/conacyt-y-cidea-investigan-presencia-de-covid-en-aguas-residuales-de-hidalgo,https://link.springer.com/article/10.1007/s00267-021-01516-4,,
172,University of Cyprus,Nicosia,,Cyprus,35.095,33.203,,,http://www.parikiaki.com/2020/12/increase-in-genetic-material-of-coronavirus-recorded-in-wastewater-in-cyprus-analysis-shows/ ,https://www.sciencedirect.com/science/article/pii/S2213343720306552,,
173,Florida Atlantic University,Boca Raton,Florida,USA ,26.375247,-80.100806,,,https://www.wptv.com/coronavirus/florida-atlantic-university-researchers-testing-wastewater-for-signs-of-covid-19,,,
174,West Virginia University,Morgantown,West Virginia,USA ,39.647738,-79.969951,,,https://wvutoday.wvu.edu/stories/2020/12/08/it-s-in-the-water-wvu-scientists-turning-no-2-into-a-no-1-predictor-of-covid-19-infections,,,
175,Alma College,Alma,Michigan,USA ,43.380835,-84.672847,,,https://www.alma.edu/live/news/2588-college-hopes-to-flush-out-covid-19-cases-on,,,
176,Oakland University,Rochester,Michigan,USA ,42.671861,-83.215845,Yes,,https://www.oakland.edu/oumagazine/news/research/oakland-university-teams-with-aquasight-to-pilot-a-sewage-surveillance-program?utm_campaign=Social&utm_content=1606926667&utm_medium=social&utm_source=Socialu/oumagazine/news/research/oakland-university-teams-with-aquasight-to-pilot-a-sewage-surveillance-program,,,
177,Nanyang Technological University,,Jurong West,Singapore,1.3483,103.6831,Yes,,https://www.ntu.edu.sg/research/research-hub/news/detail/monitoring-viruses-in-wastewater-for-early-detection-of-covid-19-outbreaks?fbclid=IwAR1126PYNjOUuV9ZwusNJVnJhd0b-E57i_Nv_jjQqtdNGNP_s34mXQ4EX38,,,
178,Wayne State University,Detroit,Michigan,USA,42.35909,-83.066638,Yes,https://egle.maps.arcgis.com/apps/webappviewer/index.html?id=8e3cb66aca204876a1db0e1b663af805,https://engineering.wayne.edu/news.php?id=41162&utm_source=link&utm_medium=email-5fd3c0472891e&utm_campaign=Friday%2C+December+11%2C+2020+-+Today%40Wayne+-+Wayne+State+Universit&utm_content=Wayne+State+joins+%2410+million+COVID-19+wastewater+surveillance+#.X9PLw-a6sgQ.twitter,,,
179,Kent State University,Kent,Ohio,USA,41.145446,-81.339176,,,https://www.kent.edu/coronavirus/news/kent-state-shares-spring-semester-testing-plan,,,
180,Michigan Technological University,Houghton,Michigan,USA,47.114986,-88.54531,,https://egle.maps.arcgis.com/apps/webappviewer/index.html?id=8e3cb66aca204876a1db0e1b663af805,https://www.mtu.edu/news/stories/2020/may/tracking-and-treating-covid19-in-human-waste.html ,,,
181,Lake Superior State University,Sault Sainte Marie,Michigan,USA,46.491689,-84.363974,,https://egle.maps.arcgis.com/apps/webappviewer/index.html?id=8e3cb66aca204876a1db0e1b663af805,https://www.mlive.com/coronavirus/2020/12/covid-19-wastewater-testing-yields-reliable-results-in-michigan-state-officials-say.html?utm_campaign=jacksoncitpat_sf&utm_medium=social&utm_source=twitter,,,
182,Ferris State University,Big Rapids,Michigan,USA,43.683605,-85.48409,,https://egle.maps.arcgis.com/apps/webappviewer/index.html?id=8e3cb66aca204876a1db0e1b663af805,https://www.ferris.edu/HTMLS/news/coronavirus/message-to-students-dec16-2020.htm,,,
183,UNC Institute of Marine Sciences,Morehead City,North Carolina,USA,34.723372,-76.752218,,,https://carolinapublicpress.org/40810/looking-for-covid-19-in-college-sewage/,https://www.northcarolina.edu/apps/bog/doc.php?id=64729&code=bog,,
184,Ohio University,Athens,Ohio,USA,39.324267,-82.101421,,,https://www.ohio.edu/news/2021/02/ohio-professors-help-monitor-covid-19-campus-wastewater-surveillance,,,
185,SUNY Oneonta,Oneonta,New York,USA,42.471341,-75.062526,,,https://www.news10.com/news/ny-news/suny-oneonta-testing-sewage-for-the-coronavirus/,,,
186,SUNY Oswego,Oswego,New York,USA,43.451206,-76.542722,,,http://www.oswegocountynewsnow.com/news/wastewater-data-helping-local-experts-identify-covid-19-hot-spots-early/article_be8c261e-f863-11ea-85f4-1bc958e3f70c.html,,,
187,SUNY College of Environmental Science and Forestry,Syracuse,New York,USA,43.034592,-76.136634,,,https://www.esf.edu/communications/view2.asp?newsID=8768,,,
188,The University of Hong Kong,Pok Fu Lam,Hong Kong ,China,22.283257,114.137219,,,https://www.dimsumdaily.hk/government-teams-up-with-university-of-hong-kong-on-sewage-surveillance-for-covid-19-virus-clues/,,,
189,Murray State University,Murray,Kentucky,USA,36.616272,-88.321659,,,https://www.wpsdlocal6.com/news/kentucky-groups-use-wastewater-testing-in-mayfield-to-detect-covid-19-outbreaks-early/article_e550679e-4fb4-11eb-8990-ef7257b7388f.html?utm_medium=social&utm_source=facebook_WPSD-TV,,,
190,Finish Institute of Health and Welfare,Helsinki ,,Finland ,60.20134,24.89837,,https://www.thl.fi/episeuranta/jatevesi/jatevesiseuranta_viikkoraportti.html,https://thl.fi/en/web/thlfi-en/-/coronavirus-genome-stay-preserved-in-frozen-wastewater-samples,https://www.medrxiv.org/content/10.1101/2020.11.18.20234039v2,,
191,University of Helsinki,Helsinki ,,Finland ,60.1726,24.951,,https://www.thl.fi/episeuranta/jatevesi/jatevesiseuranta_viikkoraportti.html,https://thl.fi/en/web/thlfi-en/-/coronavirus-found-in-waste-water-in-helsinki-and-turku-but-not-at-other-sites-monitored-weekly,https://www.medrxiv.org/content/10.1101/2020.11.18.20234039v2,,
192,University of Tampere,Tampere,,Finland ,61.4941,23.7792,,https://www.thl.fi/episeuranta/jatevesi/jatevesiseuranta_viikkoraportti.html,https://thl.fi/en/web/thlfi-en/-/coronavirus-found-in-waste-water-in-helsinki-and-turku-but-not-at-other-sites-monitored-weekly,https://www.medrxiv.org/content/10.1101/2020.11.18.20234039v2,,
193,The Australian National University,Canberra,,Australia,-35.27798,149.118506,,,https://www.anu.edu.au/news/all-news/test-confirms-no-trace-of-coronavirus-in-act-sewage,,,
194,King Abdullah University of Science and Technology,Thuwal,Makkah (Province),Saudi Arabia,22.309472,39.104692,,,https://discovery.kaust.edu.sa/en/article/976/wastewater-monitoring-in-covid-19-surveillance,,,
195,University College Dublin,Dublin,Leinster,Republic of Ireland,53.306685,-6.221377,,,https://www.ucd.ie/newsandopinion/news/2021/may/04/nationalcovid-19wastewatersurveillanceprogrammefollowingucdpilottesting/ ,,,
196,Cardiff University,Cardiff,Wales,UK,51.486407,-3.178714,,,https://wastewatersurveillance.com/,,,
197,Cape Breton University,Sydney,Nova Scotia,Canada,46.170392,-60.093725,,,https://www.cbu.ca/newsroom/articles/cape-breton-university-joins-project-aimed-at-detecting-covid-19-in-wastewater/,,,
198,St. Francis Xavier University,Antigonish,Nova Scotia,Canada,45.617751,-61.99534,,,https://researchns.ca/2021/01/08/research-project-to-track-presence-of-covid-19-in-nova-scotia-wastewater/,,,
199,University of Manitoba,Winnipeg,Manitoba,Canada,49.807335,-97.13669,,,https://news.umanitoba.ca/viruses-in-rivers/,,,
200,University of Miami,Coral Gables,Florida,USA,25.71788,-80.274618,,,https://news.miami.edu/stories/2021/02/researchers-broaden-tracking-of-covid-19-through-wastewater.html,,,
201,Polytechnique Montréal,Montreal,Québec,Canada,45.504959,-73.61299,,,https://o.canada.com/news/montreals-wastewater-could-track-the-next-covid-19-wave,,,
202,McGill University,Montreal,Québec,Canada,45.504465,-73.577682,,,https://o.canada.com/news/montreals-wastewater-could-track-the-next-covid-19-wave,,,
203,University of Central Florida,Orlando,Florida,USA,28.602107,-81.200167,Yes,,https://www.ucf.edu/news/new-ucf-covid-19-safety-measures-for-spring-2021/,,,
204,University of Tartu,Tartu,,Estonia,58.381118,26.719973,,,https://news.err.ee/1232209/sewage-monitoring-study-predicting-rise-in-covid-19-across-estonia,,,
205,Baylor University ,Waco,Texas,USA,31.5489,-97.1131,Yes,,https://www.kwtx.com/2020/09/03/random-testing-scheduled-after-covid-19-found-in-bu-dorms-sewage/,,,
206,East Carolina University,Greenville,North Carolina,USA,35.609594,-77.404275,Yes,,https://news.ecu.edu/2021/01/19/game-changer-wastewater-testing/,,,
207,University of Delaware,Newark,Delaware,USA,39.677785,-75.750719,,https://compassred.shinyapps.io/ncco_wastewater/,https://www.udel.edu/udaily/2021/january/wastewater-testing-coronavirus-sewers-new-castle-county/,,,
208,University of Maine at Presque Isle,Presque Isle,Maine,USA,46.672137,-68.016278,,,https://www.maine.edu/blog/2021/01/22/covid-19-wastewater-monitoring-approaches-universal-coverage-of-university-of-maine-system-residential-student-population-for-spring-semester/,,,
209,University of New England - Biddeford Campus,Biddeford,Maine,USA,43.458205,-70.386637,,,https://bangordailynews.com/2021/01/22/news/university-of-maine-system-expands-covid-19-wastewater-testing-ahead-of-spring-semester/,,,
210,University of Southern Maine,Gorham,Maine,USA,43.682528,-70.448659,,,https://bangordailynews.com/2021/01/22/news/university-of-maine-system-expands-covid-19-wastewater-testing-ahead-of-spring-semester/,,,
211,Laval University,Quebec City,Quebec,Canada,46.781746,-71.274753,,,https://www.universityaffairs.ca/news/news-article/covid-19-updates-for-canadas-universities/,,,
212,Laurentian University,Greater Sudbury,Ontario,Canada,46.463187,-80.966101,,,https://ontariosuniversities.ca/stories/discovering-early-detection-methods-for-outbreaks,,,
213,California Polytechnic State University,San Luis Obispo,California,USA,35.304988,-120.662548,Yes,,https://mustangnews.net/cal-poly-tests-wastewater-for-covid-19/,,,
214,Appalachian State University,Boone,North Carolina,USA,36.213422,-81.684046,Yes,,https://today.appstate.edu/2021/04/15/wastewater,,,
215,University of Massachusetts Lowell,Lowell,Massachusetts,USA,42.655239,-71.324716,,,https://www.uml.edu/news/stories/2020/covid-research-seed-grants.aspx,,,
